task_uid,assigned_resource_ids,task_start,task_end,resource_intervals,planned_task_start,planned_task_end
WO130405-10,[62],94305.0,94425.0,"[[[94305.0,94425.0]]]",2024-11-01 11:45:00,2024-11-01 13:45:00
WO130406-10,[106],94275.0,94305.0,"[[[94275.0,94305.0]]]",2024-11-01 11:15:00,2024-11-01 11:45:00
WO130407-10,[106],94245.0,94275.0,"[[[94245.0,94275.0]]]",2024-11-01 10:45:00,2024-11-01 11:15:00
WO130408-20,[26],43639.0,43674.0,"[[[43639.0,43674.0]]]",2024-09-27 07:19:00,2024-09-27 07:54:00
WO130410-10,[62],95430.0,98563.0,"[[[95430.0,96075.0],[98310.0,98563.0]]]",2024-11-02 06:30:00,2024-11-04 10:43:00
WO130413-10,[106],102685.0,102745.0,"[[[102685.0,102745.0]]]",2024-11-07 07:25:00,2024-11-07 08:25:00
WO130414-10,[106],100245.0,100275.0,"[[[100245.0,100275.0]]]",2024-11-05 14:45:00,2024-11-05 15:15:00
WO130415-10,[106],101610.0,102685.0,"[[[101610.0,101715.0],[102630.0,102685.0]]]",2024-11-06 13:30:00,2024-11-07 07:25:00
WO130416-10,[106],102745.0,102785.0,"[[[102745.0,102785.0]]]",2024-11-07 08:25:00,2024-11-07 09:05:00
WO130419-10,[106],94215.0,94245.0,"[[[94215.0,94245.0]]]",2024-11-01 10:15:00,2024-11-01 10:45:00
WO130420-10,[173],103121.0,103151.0,"[[[103121.0,103151.0]]]",2024-11-07 14:41:00,2024-11-07 15:11:00
WO130421-10,[173],88406.0,88436.0,"[[[88406.0,88436.0]]]",2024-10-28 09:26:00,2024-10-28 09:56:00
WO130422-10,[159],102630.0,103121.0,"[[[102630.0,103121.0]]]",2024-11-07 06:30:00,2024-11-07 14:41:00
WO130423-10,[173],99890.0,99920.0,"[[[99890.0,99920.0]]]",2024-11-05 08:50:00,2024-11-05 09:20:00
WO130424-10,[173],23665.0,23695.0,"[[[23665.0,23695.0]]]",2024-09-13 10:25:00,2024-09-13 10:55:00
WO130425-10,[38],83910.0,88406.0,"[[[83910.0,84225.0],[88230.0,88406.0]]]",2024-10-25 06:30:00,2024-10-28 09:26:00
WO130429-10,[23],39725.0,39775.0,"[[[39725.0,39775.0]]]",2024-09-24 14:05:00,2024-09-24 14:55:00
WO130431-10,[106],100165.0,100245.0,"[[[100165.0,100245.0]]]",2024-11-05 13:25:00,2024-11-05 14:45:00
WO130431-20,[70],101190.0,101422.0,"[[[101190.0,101422.0]]]",2024-11-06 06:30:00,2024-11-06 10:22:00
WO130432-10,[106],100085.0,100165.0,"[[[100085.0,100165.0]]]",2024-11-05 12:05:00,2024-11-05 13:25:00
WO130432-20,[71],101190.0,101586.0,"[[[101190.0,101586.0]]]",2024-11-06 06:30:00,2024-11-06 13:06:00
WO130434-10,[173],43815.0,43845.0,"[[[43815.0,43845.0]]]",2024-09-27 10:15:00,2024-09-27 10:45:00
WO130435-10,[101],47910.0,48025.0,"[[[47910.0,48025.0]]]",2024-09-30 06:30:00,2024-09-30 08:25:00
WO130436-10,[173],47960.0,47990.0,"[[[47960.0,47990.0]]]",2024-09-30 07:20:00,2024-09-30 07:50:00
WO130437-10,[102],19520.0,19550.0,"[[[19520.0,19550.0]]]",2024-09-10 13:20:00,2024-09-10 13:50:00
WO130438-10,[102],19460.0,19520.0,"[[[19460.0,19520.0]]]",2024-09-10 12:20:00,2024-09-10 13:20:00
WO130438-20,[26],47910.0,48025.0,"[[[47910.0,48025.0]]]",2024-09-30 06:30:00,2024-09-30 08:25:00
WO130439-10,[128],19510.0,19550.0,"[[[19510.0,19550.0]]]",2024-09-10 13:10:00,2024-09-10 13:50:00
WO130439-20,[98],47960.0,47990.0,"[[[47960.0,47990.0]]]",2024-09-30 07:20:00,2024-09-30 07:50:00
WO130440-10,[128],19480.0,19510.0,"[[[19480.0,19510.0]]]",2024-09-10 12:40:00,2024-09-10 13:10:00
WO130440-20,[26],43845.0,43885.0,"[[[43845.0,43885.0]]]",2024-09-27 10:45:00,2024-09-27 11:25:00
WO130441-10,[174],48210.0,48430.41,"[[[48210.0,48430.41]]]",2024-09-30 11:30:00,2024-09-30 15:10:24.6
WO130441-20,[93],99830.0,99890.0,"[[[99830.0,99890.0]]]",2024-11-05 07:50:00,2024-11-05 08:50:00
WO130442-10,[102],19350.0,19390.0,"[[[19350.0,19390.0]]]",2024-09-10 10:30:00,2024-09-10 11:10:00
WO130443-10,[102],19230.0,19350.0,"[[[19230.0,19350.0]]]",2024-09-10 08:30:00,2024-09-10 10:30:00
WO130444-10,[102],19200.0,19230.0,"[[[19200.0,19230.0]]]",2024-09-10 08:00:00,2024-09-10 08:30:00
WO130444-20,[98],43659.0,43689.0,"[[[43659.0,43689.0]]]",2024-09-27 07:39:00,2024-09-27 08:09:00
WO130447-10,[101],23490.0,23520.0,"[[[23490.0,23520.0]]]",2024-09-13 07:30:00,2024-09-13 08:00:00
WO130448-10,[101],23550.0,23665.0,"[[[23550.0,23665.0]]]",2024-09-13 08:30:00,2024-09-13 10:25:00
WO130449-10,[101],23520.0,23550.0,"[[[23520.0,23550.0]]]",2024-09-13 08:00:00,2024-09-13 08:30:00
WO130450-10,[102],19390.0,19420.0,"[[[19390.0,19420.0]]]",2024-09-10 11:10:00,2024-09-10 11:40:00
WO130450-20,[98],43689.0,47960.0,"[[[43689.0,43905.0],[47910.0,47960.0]]]",2024-09-27 08:09:00,2024-09-30 07:20:00
WO130451-10,[128],19440.0,19480.0,"[[[19440.0,19480.0]]]",2024-09-10 12:00:00,2024-09-10 12:40:00
WO130451-20,[26],43815.0,43845.0,"[[[43815.0,43845.0]]]",2024-09-27 10:15:00,2024-09-27 10:45:00
WO130452-10,[102],19420.0,19460.0,"[[[19420.0,19460.0]]]",2024-09-10 11:40:00,2024-09-10 12:20:00
WO130452-20,[26],43674.0,43815.0,"[[[43674.0,43815.0]]]",2024-09-27 07:54:00,2024-09-27 10:15:00
WO130453-10,"[176,243,171]",101190.0,102945.0,"[[[101820.0,102540.0],[102630.0,102945.0]],[[101190.0,101835.0],[102630.0,102945.0]],[[101820.0,102540.0],[102630.0,102945.0]]]",2024-11-06 06:30:00,2024-11-07 11:45:00
WO130453-20,[93],102945.0,103065.0,"[[[102945.0,103065.0]]]",2024-11-07 11:45:00,2024-11-07 13:45:00
WO130454-10,"[176,243,171]",115590.0,119455.0,"[[[119100.0,119455.0]],[[115590.0,116235.0],[118470.0,119455.0]],[[119100.0,119455.0]]]",2024-11-16 06:30:00,2024-11-18 22:55:00
WO130454-20,[93],119910.0,119970.0,"[[[119910.0,119970.0]]]",2024-11-19 06:30:00,2024-11-19 07:30:00
WO130455-10,[102],18065.0,18095.0,"[[[18065.0,18095.0]]]",2024-09-09 13:05:00,2024-09-09 13:35:00
WO130455-20,[98],43620.0,43659.0,"[[[43620.0,43659.0]]]",2024-09-27 07:00:00,2024-09-27 07:39:00
WO130456-10,[106],94185.0,94215.0,"[[[94185.0,94215.0]]]",2024-11-01 09:45:00,2024-11-01 10:15:00
WO130456-20,[186],98310.0,98410.0,"[[[98310.0,98410.0]]]",2024-11-04 06:30:00,2024-11-04 08:10:00
WO130459-10,[102],19110.0,19140.0,"[[[19110.0,19140.0]]]",2024-09-10 06:30:00,2024-09-10 07:00:00
WO130460-10,[119],43639.0,43736.0,"[[[43639.0,43736.0]]]",2024-09-27 07:19:00,2024-09-27 08:56:00
WO130461-10,[30],43590.0,43739.0,"[[[43590.0,43739.0]]]",2024-09-27 06:30:00,2024-09-27 08:59:00
WO130462-10,[262],20875.0,21024.0,"[[[20875.0,21024.0]]]",2024-09-11 11:55:00,2024-09-11 14:24:00
WO130463-10,[102],18125.0,18155.0,"[[[18125.0,18155.0]]]",2024-09-09 14:05:00,2024-09-09 14:35:00
WO130464-10,[102],18095.0,18125.0,"[[[18095.0,18125.0]]]",2024-09-09 13:35:00,2024-09-09 14:05:00
WO130465-10,[59],43620.0,43711.0,"[[[43620.0,43711.0]]]",2024-09-27 07:00:00,2024-09-27 08:31:00
WO130466-10,[102],18155.0,18185.0,"[[[18155.0,18185.0]]]",2024-09-09 14:35:00,2024-09-09 15:05:00
WO130467-10,[128],20740.0,20770.0,"[[[20740.0,20770.0]]]",2024-09-11 09:40:00,2024-09-11 10:10:00
WO130467-20,[98],48255.0,48294.0,"[[[48255.0,48294.0]]]",2024-09-30 12:15:00,2024-09-30 12:54:00
WO130468-10,[106],113170.0,113200.0,"[[[113170.0,113200.0]]]",2024-11-14 14:10:00,2024-11-14 14:40:00
WO130468-20,[186],114150.0,114250.0,"[[[114150.0,114250.0]]]",2024-11-15 06:30:00,2024-11-15 08:10:00
WO130471-10,[128],20770.0,20800.0,"[[[20770.0,20800.0]]]",2024-09-11 10:10:00,2024-09-11 10:40:00
WO130472-10,[30],48280.0,48376.55,"[[[48280.0,48376.55]]]",2024-09-30 12:40:00,2024-09-30 14:16:33
WO130473-10,[262],48255.0,48404.0,"[[[48255.0,48404.0]]]",2024-09-30 12:15:00,2024-09-30 14:44:00
WO130475-10,[102],20755.0,20785.0,"[[[20755.0,20785.0]]]",2024-09-11 09:55:00,2024-09-11 10:25:00
WO130476-10,[102],20785.0,20815.0,"[[[20785.0,20815.0]]]",2024-09-11 10:25:00,2024-09-11 10:55:00
WO130477-20,[26],43609.0,43639.0,"[[[43609.0,43639.0]]]",2024-09-27 06:49:00,2024-09-27 07:19:00
WO130478-10,[102],18005.0,18035.0,"[[[18005.0,18035.0]]]",2024-09-09 12:05:00,2024-09-09 12:35:00
WO130478-20,[26],42634.0,42664.0,"[[[42634.0,42664.0]]]",2024-09-26 14:34:00,2024-09-26 15:04:00
WO130479-10,[102],17975.0,18005.0,"[[[17975.0,18005.0]]]",2024-09-09 11:35:00,2024-09-09 12:05:00
WO130479-20,[98],42621.73,42655.73,"[[[42621.73,42655.73]]]",2024-09-26 14:21:43.8,2024-09-26 14:55:43.8
WO130481-20,[98],43590.0,43620.0,"[[[43590.0,43620.0]]]",2024-09-27 06:30:00,2024-09-27 07:00:00
WO130482-10,[102],18035.0,18065.0,"[[[18035.0,18065.0]]]",2024-09-09 12:35:00,2024-09-09 13:05:00
WO130482-20,[26],42664.0,43609.0,"[[[42664.0,42675.0],[43590.0,43609.0]]]",2024-09-26 15:04:00,2024-09-27 06:49:00
WO130483-20,[26],48239.0,48269.0,"[[[48239.0,48269.0]]]",2024-09-30 11:59:00,2024-09-30 12:29:00
WO130484-10,[102],20725.0,20755.0,"[[[20725.0,20755.0]]]",2024-09-11 09:25:00,2024-09-11 09:55:00
WO130484-20,[98],48225.0,48255.0,"[[[48225.0,48255.0]]]",2024-09-30 11:45:00,2024-09-30 12:15:00
WO130485-10,[128],20710.0,20740.0,"[[[20710.0,20740.0]]]",2024-09-11 09:10:00,2024-09-11 09:40:00
WO130485-20,[26],48205.0,48239.0,"[[[48205.0,48239.0]]]",2024-09-30 11:25:00,2024-09-30 11:59:00
WO130487-10,"[176,243,171]",98940.0,100965.5,"[[[98940.0,99660.0],[100380.0,100965.5]],[[99750.0,100965.5]],[[98940.0,99660.0],[100380.0,100965.5]]]",2024-11-04 17:00:00,2024-11-06 02:45:30
WO130488-10,"[176,243,171]",113340.0,115365.5,"[[[113340.0,114060.0],[114780.0,115365.5]],[[114150.0,115365.5]],[[113340.0,114060.0],[114780.0,115365.5]]]",2024-11-14 17:00:00,2024-11-16 02:45:30
WO130489-10,[102],17945.0,17975.0,"[[[17945.0,17975.0]]]",2024-09-09 11:05:00,2024-09-09 11:35:00
WO130490-20,[15],8062.0,8115.0,"[[[8062.0,8115.0]]]",2024-09-02 14:22:00,2024-09-02 15:15:00
WO130491-20,[15],9133.0,9254.0,"[[[9133.0,9254.0]]]",2024-09-03 08:13:00,2024-09-03 10:14:00
WO130493-20,[98],42591.73,42621.73,"[[[42591.73,42621.73]]]",2024-09-26 13:51:43.8,2024-09-26 14:21:43.8
WO130495-20,[26],42604.0,42634.0,"[[[42604.0,42634.0]]]",2024-09-26 14:04:00,2024-09-26 14:34:00
WO130498-10,[106],91405.0,91435.0,"[[[91405.0,91435.0]]]",2024-10-30 11:25:00,2024-10-30 11:55:00
WO130498-20,[15],91441.0,91471.0,"[[[91441.0,91471.0]]]",2024-10-30 12:01:00,2024-10-30 12:31:00
WO130501-10,[102],17915.0,17945.0,"[[[17915.0,17945.0]]]",2024-09-09 10:35:00,2024-09-09 11:05:00
WO130503-10,[106],91585.0,91615.0,"[[[91585.0,91615.0]]]",2024-10-30 14:25:00,2024-10-30 14:55:00
WO130504-10,[106],91435.0,91465.0,"[[[91435.0,91465.0]]]",2024-10-30 11:55:00,2024-10-30 12:25:00
WO130504-20,[15],91471.0,91501.0,"[[[91471.0,91501.0]]]",2024-10-30 12:31:00,2024-10-30 13:01:00
WO130505-10,[102],17885.0,17915.0,"[[[17885.0,17915.0]]]",2024-09-09 10:05:00,2024-09-09 10:35:00
WO130505-30,[98],42561.73,42591.73,"[[[42561.73,42591.73]]]",2024-09-26 13:21:43.8,2024-09-26 13:51:43.8
WO130506-10,[106],91525.0,91555.0,"[[[91525.0,91555.0]]]",2024-10-30 13:25:00,2024-10-30 13:55:00
WO130506-20,[15],91555.0,91585.0,"[[[91555.0,91585.0]]]",2024-10-30 13:55:00,2024-10-30 14:25:00
WO130507-10,[106],91335.0,91365.0,"[[[91335.0,91365.0]]]",2024-10-30 10:15:00,2024-10-30 10:45:00
WO130507-20,[15],91365.0,91441.0,"[[[91365.0,91441.0]]]",2024-10-30 10:45:00,2024-10-30 12:01:00
WO130508-10,[106],91555.0,91585.0,"[[[91555.0,91585.0]]]",2024-10-30 13:55:00,2024-10-30 14:25:00
WO130508-20,[15],91585.0,91614.71,"[[[91585.0,91614.71]]]",2024-10-30 14:25:00,2024-10-30 14:54:42.6
WO130509-10,[106],91495.0,91525.0,"[[[91495.0,91525.0]]]",2024-10-30 12:55:00,2024-10-30 13:25:00
WO130509-20,[98],91525.0,91555.0,"[[[91525.0,91555.0]]]",2024-10-30 13:25:00,2024-10-30 13:55:00
WO130510-10,[106],91465.0,91495.0,"[[[91465.0,91495.0]]]",2024-10-30 12:25:00,2024-10-30 12:55:00
WO130510-20,[15],91501.0,91531.0,"[[[91501.0,91531.0]]]",2024-10-30 13:01:00,2024-10-30 13:31:00
WO130511-10,[102],17825.0,17885.0,"[[[17825.0,17885.0]]]",2024-09-09 09:05:00,2024-09-09 10:05:00
WO130511-20,[15],19453.0,19616.0,"[[[19453.0,19616.0]]]",2024-09-10 12:13:00,2024-09-10 14:56:00
WO130512-10,[106],94105.0,94185.0,"[[[94105.0,94185.0]]]",2024-11-01 08:25:00,2024-11-01 09:45:00
WO130513-10,[159],91110.0,98561.0,"[[[91110.0,91635.0],[92550.0,93075.0],[93990.0,94305.0],[98310.0,98561.0]]]",2024-10-30 06:30:00,2024-11-04 10:41:00
WO130514-10,[62],91405.0,91465.0,"[[[91405.0,91465.0]]]",2024-10-30 11:25:00,2024-10-30 12:25:00
WO130517-20,[98],42531.73,42561.73,"[[[42531.73,42561.73]]]",2024-09-26 12:51:43.8,2024-09-26 13:21:43.8
WO130518-10,[106],91365.0,91405.0,"[[[91365.0,91405.0]]]",2024-10-30 10:45:00,2024-10-30 11:25:00
WO130519-10,[128],15385.0,15425.0,"[[[15385.0,15425.0]]]",2024-09-07 16:25:00,2024-09-07 17:05:00
WO130519-20,[15],18042.0,18167.0,"[[[18042.0,18167.0]]]",2024-09-09 12:42:00,2024-09-09 14:47:00
WO130520-10,[102],17785.0,17825.0,"[[[17785.0,17825.0]]]",2024-09-09 08:25:00,2024-09-09 09:05:00
WO130520-20,[15],19374.0,19453.0,"[[[19374.0,19453.0]]]",2024-09-10 10:54:00,2024-09-10 12:13:00
WO130521-10,[38],81030.0,82576.0,"[[[81030.0,81555.0],[82470.0,82576.0]]]",2024-10-23 06:30:00,2024-10-24 08:16:00
WO130521-20,[191],83910.0,89823.0,"[[[83910.0,84225.0],[88230.0,88755.0],[89670.0,89823.0]]]",2024-10-25 06:30:00,2024-10-29 09:03:00
WO130523-10,[102],20695.0,20725.0,"[[[20695.0,20725.0]]]",2024-09-11 08:55:00,2024-09-11 09:25:00
WO130524-20,[15],10790.0,10843.0,"[[[10790.0,10843.0]]]",2024-09-04 11:50:00,2024-09-04 12:43:00
WO130525-20,[15],9433.0,9554.0,"[[[9433.0,9554.0]]]",2024-09-03 13:13:00,2024-09-03 15:14:00
WO130527-20,[98],48195.0,48225.0,"[[[48195.0,48225.0]]]",2024-09-30 11:15:00,2024-09-30 11:45:00
WO130528-10,[102],20665.0,20695.0,"[[[20665.0,20695.0]]]",2024-09-11 08:25:00,2024-09-11 08:55:00
WO130528-20,[98],48165.0,48195.0,"[[[48165.0,48195.0]]]",2024-09-30 10:45:00,2024-09-30 11:15:00
WO130529-20,[26],48175.0,48205.0,"[[[48175.0,48205.0]]]",2024-09-30 10:55:00,2024-09-30 11:25:00
WO130532-10,[128],20620.0,20680.0,"[[[20620.0,20680.0]]]",2024-09-11 07:40:00,2024-09-11 08:40:00
WO130532-20,[15],21065.0,22143.0,"[[[21065.0,21075.0],[21990.0,22143.0]]]",2024-09-11 15:05:00,2024-09-12 09:03:00
WO130533-10,[106],108865.0,108895.0,"[[[108865.0,108895.0]]]",2024-11-11 14:25:00,2024-11-11 14:55:00
WO130533-20,[15],108895.0,109839.96,"[[[108895.0,108915.0],[109830.0,109839.96]]]",2024-11-11 14:55:00,2024-11-12 06:39:57.6
WO130536-10,[128],20680.0,20710.0,"[[[20680.0,20710.0]]]",2024-09-11 08:40:00,2024-09-11 09:10:00
WO130538-10,[106],113060.0,113090.0,"[[[113060.0,113090.0]]]",2024-11-14 12:20:00,2024-11-14 12:50:00
WO130539-10,[106],112940.0,112970.0,"[[[112940.0,112970.0]]]",2024-11-14 10:20:00,2024-11-14 10:50:00
WO130539-20,[15],112970.0,113000.0,"[[[112970.0,113000.0]]]",2024-11-14 10:50:00,2024-11-14 11:20:00
WO130540-10,[102],20635.0,20665.0,"[[[20635.0,20665.0]]]",2024-09-11 07:55:00,2024-09-11 08:25:00
WO130540-30,[26],48145.0,48175.0,"[[[48145.0,48175.0]]]",2024-09-30 10:25:00,2024-09-30 10:55:00
WO130541-10,[106],108835.0,108865.0,"[[[108835.0,108865.0]]]",2024-11-11 13:55:00,2024-11-11 14:25:00
WO130541-20,[15],108865.0,108895.0,"[[[108865.0,108895.0]]]",2024-11-11 14:25:00,2024-11-11 14:55:00
WO130542-10,[106],103105.0,103135.0,"[[[103105.0,103135.0]]]",2024-11-07 14:25:00,2024-11-07 14:55:00
WO130542-20,[15],104175.0,104251.0,"[[[104175.0,104251.0]]]",2024-11-08 08:15:00,2024-11-08 09:31:00
WO130543-10,[106],112970.0,113000.0,"[[[112970.0,113000.0]]]",2024-11-14 10:50:00,2024-11-14 11:20:00
WO130543-20,[15],113000.0,113030.0,"[[[113000.0,113030.0]]]",2024-11-14 11:20:00,2024-11-14 11:50:00
WO130544-10,[106],113030.0,113060.0,"[[[113030.0,113060.0]]]",2024-11-14 11:50:00,2024-11-14 12:20:00
WO130544-20,[98],113060.0,113090.0,"[[[113060.0,113090.0]]]",2024-11-14 12:20:00,2024-11-14 12:50:00
WO130545-10,[106],113000.0,113030.0,"[[[113000.0,113030.0]]]",2024-11-14 11:20:00,2024-11-14 11:50:00
WO130545-20,[15],113030.0,113060.0,"[[[113030.0,113060.0]]]",2024-11-14 11:50:00,2024-11-14 12:20:00
WO130546-10,[106],113090.0,113170.0,"[[[113090.0,113170.0]]]",2024-11-14 12:50:00,2024-11-14 14:10:00
WO130547-10,[23],92550.0,100001.0,"[[[92550.0,93075.0],[93990.0,94305.0],[98310.0,98835.0],[99750.0,100001.0]]]",2024-10-31 06:30:00,2024-11-05 10:41:00
WO130548-10,[159],108835.0,108895.0,"[[[108835.0,108895.0]]]",2024-11-11 13:55:00,2024-11-11 14:55:00
WO130551-20,[98],48135.0,48165.0,"[[[48135.0,48165.0]]]",2024-09-30 10:15:00,2024-09-30 10:45:00
WO130552-10,[106],108795.0,108835.0,"[[[108795.0,108835.0]]]",2024-11-11 13:15:00,2024-11-11 13:55:00
WO130553-10,[102],20595.0,20635.0,"[[[20595.0,20635.0]]]",2024-09-11 07:15:00,2024-09-11 07:55:00
WO130553-20,[15],20940.0,21065.0,"[[[20940.0,21065.0]]]",2024-09-11 13:00:00,2024-09-11 15:05:00
WO130554-20,[15],9357.0,9433.0,"[[[9357.0,9433.0]]]",2024-09-03 11:57:00,2024-09-03 13:13:00
WO130555-10,[159],82970.0,88521.0,"[[[82970.0,82995.0],[83910.0,84225.0],[88230.0,88521.0]]]",2024-10-24 14:50:00,2024-10-28 11:21:00
WO130555-20,[271],89670.0,91578.0,"[[[89670.0,90195.0],[91110.0,91578.0]]]",2024-10-29 06:30:00,2024-10-30 14:18:00
WO130558-10,[19],356070.0,366437.0,"[[[356070.0,356385.0],[360390.0,360915.0],[361830.0,362355.0],[363270.0,363795.0],[364710.0,365235.0],[366150.0,366437.0]]]",2025-05-02 06:30:00,2025-05-09 11:17:00
WO130559-10,[155],109020.0,124867.0,"[[[109020.0,109740.0],[110460.0,111180.0],[111900.0,112620.0],[113340.0,114060.0],[114780.0,115500.0],[119100.0,119820.0],[120540.0,121260.0],[121980.0,122700.0],[123420.0,124140.0],[124860.0,124867.0]]]",2024-11-11 17:00:00,2024-11-22 17:07:00
WO130559-20,[183],125670.0,128840.0,"[[[125670.0,126315.0],[128550.0,128840.0]]]",2024-11-23 06:30:00,2024-11-25 11:20:00
WO130562-20,[15],9030.0,9133.0,"[[[9030.0,9133.0]]]",2024-09-03 06:30:00,2024-09-03 08:13:00
WO130563-10,[106],101190.0,101610.0,"[[[101190.0,101610.0]]]",2024-11-06 06:30:00,2024-11-06 13:30:00
WO130563-20,[15],102630.0,104175.0,"[[[102630.0,103155.0],[104070.0,104175.0]]]",2024-11-07 06:30:00,2024-11-08 08:15:00
WO130563-30,[243],104175.0,104490.0,"[[[104175.0,104490.0]]]",2024-11-08 08:15:00,2024-11-08 13:30:00
WO130564-20,[98],42501.73,42531.73,"[[[42501.73,42531.73]]]",2024-09-26 12:21:43.8,2024-09-26 12:51:43.8
WO130570-10,[113],100380.0,104950.0,"[[[100380.0,101100.0],[101820.0,102540.0],[103260.0,103980.0],[104700.0,104950.0]]]",2024-11-05 17:00:00,2024-11-08 21:10:00
WO130570-20,[73],105390.0,108630.0,"[[[105390.0,106050.0],[108390.0,108630.0]]]",2024-11-09 04:30:00,2024-11-11 10:30:00
WO130571-10,[73],4650.0,5010.0,"[[[4650.0,5010.0]]]",2024-08-31 05:30:00,2024-08-31 11:30:00
WO130572-10,[159],79820.0,81061.44,"[[[79820.0,80115.0],[81030.0,81061.44]]]",2024-10-22 10:20:00,2024-10-23 07:01:26.4
WO130572-20,[187],81061.44,81121.44,"[[[81061.44,81121.44]]]",2024-10-23 07:01:26.4,2024-10-23 08:01:26.4
WO130573-10,[128],15345.0,15385.0,"[[[15345.0,15385.0]]]",2024-09-07 15:45:00,2024-09-07 16:25:00
WO130573-20,[71],22102.0,22282.0,"[[[22102.0,22282.0]]]",2024-09-12 08:22:00,2024-09-12 11:22:00
WO130574-10,[150],81030.0,81309.0,"[[[81030.0,81309.0]]]",2024-10-23 06:30:00,2024-10-23 11:09:00
WO130574-20,[187],81309.0,81369.0,"[[[81309.0,81369.0]]]",2024-10-23 11:09:00,2024-10-23 12:09:00
WO130575-10,[106],98310.0,100025.0,"[[[98310.0,98835.0],[99750.0,100025.0]]]",2024-11-04 06:30:00,2024-11-05 11:05:00
WO130576-10,[187],53670.0,58275.0,"[[[53670.0,53985.0],[57990.0,58275.0]]]",2024-10-04 06:30:00,2024-10-07 11:15:00
WO130578-10,[102],13660.0,17785.0,"[[[13660.0,13665.0],[17670.0,17785.0]]]",2024-09-06 11:40:00,2024-09-09 08:25:00
WO130579-10,[187],59430.0,60945.0,"[[[59430.0,59955.0],[60870.0,60945.0]]]",2024-10-08 06:30:00,2024-10-09 07:45:00
WO130595-10,[36],363270.0,373637.0,"[[[363270.0,363795.0],[364710.0,365235.0],[366150.0,366465.0],[370470.0,370995.0],[371910.0,372435.0],[373350.0,373637.0]]]",2025-05-07 06:30:00,2025-05-14 11:17:00
WO130599-10,[201],122790.0,140107.0,"[[[122790.0,123435.0],[124230.0,124875.0],[125670.0,126315.0],[128550.0,129195.0],[129990.0,130635.0],[131430.0,132075.0],[132870.0,133515.0],[134310.0,134955.0],[135750.0,136395.0],[138630.0,139275.0],[140070.0,140107.0]]]",2024-11-21 06:30:00,2024-12-03 07:07:00
WO130599-20,[113],140700.0,142355.0,"[[[140700.0,141420.0],[142140.0,142355.0]]]",2024-12-03 17:00:00,2024-12-04 20:35:00
WO130602-20,[15],9254.0,9357.0,"[[[9254.0,9357.0]]]",2024-09-03 10:14:00,2024-09-03 11:57:00
WO130603-20,[98],38266.0,38296.0,"[[[38266.0,38296.0]]]",2024-09-23 13:46:00,2024-09-23 14:16:00
WO130606-10,[106],114150.0,118575.0,"[[[114150.0,114465.0],[118470.0,118575.0]]]",2024-11-15 06:30:00,2024-11-18 08:15:00
WO130606-20,[15],119910.0,121455.0,"[[[119910.0,120435.0],[121350.0,121455.0]]]",2024-11-19 06:30:00,2024-11-20 08:15:00
WO130606-30,[30],121455.0,121770.0,"[[[121455.0,121770.0]]]",2024-11-20 08:15:00,2024-11-20 13:30:00
WO130607-20,[26],48115.0,48145.0,"[[[48115.0,48145.0]]]",2024-09-30 09:55:00,2024-09-30 10:25:00
WO130614-10,[183],114150.0,120385.0,"[[[114150.0,114795.0],[115590.0,116235.0],[118470.0,119115.0],[119910.0,120385.0]]]",2024-11-15 06:30:00,2024-11-19 14:25:00
WO130614-20,[73],121350.0,122250.0,"[[[121350.0,122250.0]]]",2024-11-20 06:30:00,2024-11-20 21:30:00
WO130615-20,[98],41110.0,42190.73,"[[[41110.0,41235.0],[42150.0,42190.73]]]",2024-09-25 13:10:00,2024-09-26 07:10:43.8
WO130616-10,[73],10970.0,11330.0,"[[[10970.0,11330.0]]]",2024-09-04 14:50:00,2024-09-04 20:50:00
