task_uid,assigned_resource_ids,task_start,task_end,resource_intervals,planned_task_start,planned_task_end
WO128716-10,[62],43665.0,43944.0,"[[[43665.0,43944.0]]]",2024-09-27 07:45:00,2024-09-27 12:24:00
WO128716-20,[187],47910.0,47970.0,"[[[47910.0,47970.0]]]",2024-09-30 06:30:00,2024-09-30 07:30:00
WO128717-10,[106],30810.0,32525.0,"[[[30810.0,31155.0],[32070.0,32525.0]]]",2024-09-18 09:30:00,2024-09-19 14:05:00
WO128720-10,[187],42150.0,43665.0,"[[[42150.0,42675.0],[43590.0,43665.0]]]",2024-09-26 06:30:00,2024-09-27 07:45:00
WO128721-10,[187],39270.0,40785.0,"[[[39270.0,39795.0],[40710.0,40785.0]]]",2024-09-24 06:30:00,2024-09-25 07:45:00
WO128722-10,[244],50924.0,51257.0,"[[[50924.0,51257.0]]]",2024-10-02 08:44:00,2024-10-02 14:17:00
WO128722-20,[161],51420.0,53052.0,"[[[51420.0,52140.0],[52860.0,53052.0]]]",2024-10-02 17:00:00,2024-10-03 20:12:00
WO128722-30,[93],53670.0,53700.0,"[[[53670.0,53700.0]]]",2024-10-04 06:30:00,2024-10-04 07:00:00
WO128723-10,[101],30877.0,30907.0,"[[[30877.0,30907.0]]]",2024-09-18 10:37:00,2024-09-18 11:07:00
WO128724-10,[173],10584.93,10614.93,"[[[10584.93,10614.93]]]",2024-09-04 08:24:55.8,2024-09-04 08:54:55.8
WO128729-10,[62],27750.0,28153.0,"[[[27750.0,28153.0]]]",2024-09-16 06:30:00,2024-09-16 13:13:00
WO128732-10,[196],10764.0,10971.4,"[[[10764.0,10971.4]]]",2024-09-04 11:24:00,2024-09-04 14:51:24
WO128733-10,[23],29190.0,29566.0,"[[[29190.0,29566.0]]]",2024-09-17 06:30:00,2024-09-17 12:46:00
WO128734-10,[23],27950.0,28186.0,"[[[27950.0,28186.0]]]",2024-09-16 09:50:00,2024-09-16 13:46:00
WO128735-10,[159],3420.0,3527.0,"[[[3420.0,3527.0]]]",2024-08-30 09:00:00,2024-08-30 10:47:00
WO128736-10,[150],30630.0,30877.0,"[[[30630.0,30877.0]]]",2024-09-18 06:30:00,2024-09-18 10:37:00
WO128745-10,[173],12014.81,12044.81,"[[[12014.81,12044.81]]]",2024-09-05 08:14:48.6,2024-09-05 08:44:48.6
WO128746-10,[101],10926.0,10955.64,"[[[10926.0,10955.64]]]",2024-09-04 14:06:00,2024-09-04 14:35:38.4
WO128752-10,[173],10890.0,10919.62,"[[[10890.0,10919.62]]]",2024-09-04 13:30:00,2024-09-04 13:59:37.2
WO128753-10,[101],10725.0,10840.0,"[[[10725.0,10840.0]]]",2024-09-04 10:45:00,2024-09-04 12:40:00
WO128767-10,[36],138630.0,141945.0,"[[[138630.0,139155.0],[140070.0,140595.0],[141510.0,141945.0]]]",2024-12-02 06:30:00,2024-12-04 13:45:00
WO128771-10,[19],203430.0,210765.0,"[[[203430.0,203955.0],[204870.0,205185.0],[209190.0,209715.0],[210630.0,210765.0]]]",2025-01-16 06:30:00,2025-01-21 08:45:00
WO128775-10,[174],41128.0,41158.0,"[[[41128.0,41158.0]]]",2024-09-25 13:28:00,2024-09-25 13:58:00
WO128775-20,[93],41158.0,41218.0,"[[[41158.0,41218.0]]]",2024-09-25 13:58:00,2024-09-25 14:58:00
WO128780-10,[174],40710.0,41128.0,"[[[40710.0,41128.0]]]",2024-09-25 06:30:00,2024-09-25 13:28:00
WO128781-20,[98],9217.0,9247.0,"[[[9217.0,9247.0]]]",2024-09-03 09:37:00,2024-09-03 10:07:00
WO128801-10,[196],32070.0,39521.0,"[[[32070.0,32595.0],[33510.0,33825.0],[37830.0,38355.0],[39270.0,39521.0]]]",2024-09-19 06:30:00,2024-09-24 10:41:00
WO128804-20,[15],3395.0,3425.0,"[[[3395.0,3425.0]]]",2024-08-30 08:35:00,2024-08-30 09:05:00
WO128812-20,[15],3365.0,3395.0,"[[[3365.0,3395.0]]]",2024-08-30 08:05:00,2024-08-30 08:35:00
WO128813-20,[15],3425.0,3501.0,"[[[3425.0,3501.0]]]",2024-08-30 09:05:00,2024-08-30 10:21:00
WO128815-20,[98],9123.0,9153.0,"[[[9123.0,9153.0]]]",2024-09-03 08:03:00,2024-09-03 08:33:00
WO128818-10,[106],37935.0,38015.0,"[[[37935.0,38015.0]]]",2024-09-23 08:15:00,2024-09-23 09:35:00
WO128825-20,[191],1889.71,1919.71,"[[[1889.71,1919.71]]]",2024-08-29 07:29:42.6,2024-08-29 07:59:42.6
WO128834-10,[270],40740.0,40770.0,"[[[40740.0,40770.0]]]",2024-09-25 07:00:00,2024-09-25 07:30:00
WO128837-10,[103],33510.0,51267.0,"[[[33510.0,33825.0],[37830.0,38355.0],[39270.0,39795.0],[40710.0,41235.0],[42150.0,42675.0],[43590.0,43905.0],[47910.0,48435.0],[49350.0,49875.0],[50790.0,51267.0]]]",2024-09-20 06:30:00,2024-10-02 14:27:00
WO128838-10,[103],30757.0,31023.0,"[[[30757.0,31023.0]]]",2024-09-18 08:37:00,2024-09-18 13:03:00
WO128839-10,[38],19270.0,19464.47,"[[[19270.0,19464.47]]]",2024-09-10 09:10:00,2024-09-10 12:24:28.2
